Title,Year,Revenue,Rating,Critics ratings,Season,budget,genres,cast_popularity,critics_missing,log_revenue,log_budget,revenue_class
The Super Mario Galaxy Movie,2026,755815355,6.4,37.0,spring,110000000.0,"Family, Comedy, Adventure, Fantasy, Animation",1.503193335621716,0,20.44330766621759,18.5159909328476,High
Pegasus 3,2026,641059523,6.8,58.0,winter,80000000.0,"Drama, Comedy",2.06295758462337,1,20.27863287172806,18.197537205138154,High
Project Hail Mary,2026,577222148,8.4,77.0,spring,200000000.0,"Science Fiction, Adventure",0.9161702077538445,0,20.173737757308633,19.11382792951231,High
Hoppers,2026,367857474,7.4,73.0,spring,150000000.0,"Animation, Family, Science Fiction, Comedy, Adventure",1.9276252594347911,0,19.72320612491901,18.826145858727198,High
Wuthering Heights,2026,241301072,6.1,55.0,winter,82500000.0,Comedy,0.7982584496190753,0,19.30155597733216,18.228308863426122,High
Scream 7,2026,213428727,5.5,35.0,winter,45000000.0,"Horror, Mystery, Crime",0.7843240444512447,0,19.178813508202524,17.622173069956816,High
Blades of the Guardians,2026,203356793,7.3,58.0,winter,82500000.0,Comedy,0.7982584496190753,1,19.130472600135594,18.228308863426122,High
GOAT,2026,190336690,6.7,60.0,winter,90000000.0,"Animation, Comedy, Family",0.5133486238896019,0,19.06430511977731,18.31532023940565,High
Scare Out,2026,186971064,5.4,58.0,winter,0.0,"Crime, Thriller, Action",1.4213624466625456,1,19.046464430226212,0.0,High
Dhurandhar: The Revenge,2026,152779112,8.5,52.0,spring,30000000.0,Comedy,0.7696914405427404,1,18.8445037303269,17.216707972959764,High
Boonie Bears: The Hidden Protector,2026,139300000,6.6,52.0,unknown,30000000.0,Comedy,0.7696914405427404,1,18.752140445928784,17.216707972959764,High
The King’s Warden,2026,112360635,6.9,52.0,winter,30000000.0,Comedy,0.7696914405427404,1,18.537224220561654,17.216707972959764,High
The Drama,2026,96666046,7.5,59.0,spring,28000000.0,"Romance, Comedy, Drama",0.6193489877220302,0,18.38677278191131,17.147715103853763,High
Send Help,2026,94041481,6.8,75.0,winter,40000000.0,"Horror, Thriller, Comedy",0.9996181379010246,0,18.35924654076335,17.50439003707821,High
Reminders of Him,2026,86865025,6.3,49.0,spring,30000000.0,"Romance, Drama",0.5386989089643454,0,18.27986604662512,17.216707972959764,High
Hamlet,2026,78737708,6.3,52.0,spring,0.0,Drama,0.5473468169667283,1,18.181632747298384,0.0,High
Crime 101,2026,72789249,6.8,68.0,winter,90000000.0,"Crime, Thriller",0.6505166792148868,0,18.103078837428225,18.31532023940565,High
28 Years Later: The Bone Temple,2026,58521311,7.3,81.0,winter,63000000.0,"Horror, Thriller, Science Fiction",0.8855118832477723,0,17.884901553550456,17.958645300228824,High
Mercy,2026,54707770,6.2,34.0,winter,60000000.0,"Science Fiction, Action, Thriller, Crime",0.604055766461269,0,17.817516323115346,17.909855136853043,High
Shelter,2026,53818282,6.1,50.0,winter,50000000.0,"Action, Crime, Thriller",0.8729828831454427,0,17.80112380011571,17.72753358339242,High
Marsupilami,2026,50295506,6.5,51.0,winter,33555600.0,"Adventure, Comedy",0.5441623268141451,1,17.733426307024672,17.328714352306644,High
Iron Lung,2026,50030256,6.5,54.0,winter,3000000.0,"Horror, Mystery, Science Fiction",0.3422348484848485,0,17.728138520369043,14.914123179965662,High
Return to Silent Hill,2026,47535805,4.0,34.0,winter,23000000.0,"Mystery, Drama, Horror",0.20171557420124198,0,17.67699379555873,16.951004817371683,High
Greenland 2: Migration,2026,44856736,5.2,49.0,winter,90000000.0,"Adventure, Thriller, Science Fiction",0.4072725817067866,0,17.618984347005583,18.31532023940565,Low
Primate,2026,39055779,5.8,51.0,winter,21000000.0,"Horror, Thriller",0.542669856302387,1,17.480501438661694,16.860033043306743,Low
Ready or Not 2: Here I Come,2026,38281405,6.7,58.0,spring,14000000.0,"Horror, Comedy",0.636121585870253,0,17.460474853237113,16.454567959008102,Low
Lee Cronin's The Mummy,2026,37088270,6.4,46.0,spring,22000000.0,"Horror, Mystery",0.43586048531663435,0,17.428811332040564,16.906553056777135,Low
Torrente for President,2026,30941332,6.2,55.0,spring,0.0,Comedy,0.3431108590803704,1,17.247603485568334,0.0,Low
Until We Meet Again,2026,27553671,6.5,55.0,unknown,7800000.0,Comedy,0.7823286698178114,1,17.13164636961803,15.86963441986494,Low
The Tale of Tsar Saltan,2026,27475318,5.3,55.0,winter,0.0,Fantasy,0.31358066153721725,1,17.128798668741606,0.0,Low
Solo Mio,2026,26274457,6.8,48.0,winter,4000000.0,"Romance, Comedy",0.4713351711478307,0,17.08410784654117,15.201805169084134,Low
Doraemon: Nobita and the New Castle of the Undersea Devil,2026,24703751,8.0,55.0,unknown,7800000.0,Comedy,0.7823286698178114,1,17.022465692896148,15.86963441986494,Low
The Bride!,2026,23844025,5.7,55.0,spring,80000000.0,"Science Fiction, Horror, Fantasy",0.6561633363931781,0,16.98704426174243,18.197537205138154,Low
